Connecting to host 10.0.1.100, port 10003
[ 26] local 10.0.4.100 port 54214 connected to 10.0.1.100 port 10003
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[ 26]   0.00-1.00   sec  3.20 MBytes  26.8 Mbits/sec    0    192 KBytes       
[ 26]   1.00-2.00   sec  2.61 MBytes  21.9 Mbits/sec    0    317 KBytes       
[ 26]   2.00-3.00   sec  2.86 MBytes  24.0 Mbits/sec    0    433 KBytes       
[ 26]   3.00-4.00   sec  2.92 MBytes  24.5 Mbits/sec    0    553 KBytes       
[ 26]   4.00-5.00   sec  2.36 MBytes  19.8 Mbits/sec    1    646 KBytes       
[ 26]   5.00-6.00   sec  2.50 MBytes  21.0 Mbits/sec    0    649 KBytes       
[ 26]   6.00-7.00   sec  2.50 MBytes  21.0 Mbits/sec    0    652 KBytes       
[ 26]   7.00-8.00   sec  1.25 MBytes  10.5 Mbits/sec    0    660 KBytes       
[ 26]   8.00-9.00   sec  1.25 MBytes  10.5 Mbits/sec    7    468 KBytes       
[ 26]   9.00-10.00  sec  2.50 MBytes  21.0 Mbits/sec   10    342 KBytes       
[ 26]  10.00-11.00  sec  1.25 MBytes  10.5 Mbits/sec    0    370 KBytes       
[ 26]  11.00-12.00  sec  2.50 MBytes  21.0 Mbits/sec    0    387 KBytes       
[ 26]  12.00-13.00  sec  1.25 MBytes  10.5 Mbits/sec    0    395 KBytes       
[ 26]  13.00-14.00  sec  1.25 MBytes  10.5 Mbits/sec    0    397 KBytes       
[ 26]  14.00-15.00  sec  1.25 MBytes  10.5 Mbits/sec    0    397 KBytes       
[ 26]  15.00-16.00  sec  1.25 MBytes  10.5 Mbits/sec    0    399 KBytes       
[ 26]  16.00-17.00  sec  2.50 MBytes  21.0 Mbits/sec    0    404 KBytes       
[ 26]  17.00-18.00  sec  1.25 MBytes  10.5 Mbits/sec    0    417 KBytes       
[ 26]  18.00-19.00  sec  1.25 MBytes  10.5 Mbits/sec    0    441 KBytes       
[ 26]  19.00-20.00  sec  2.50 MBytes  21.0 Mbits/sec    0    481 KBytes       
[ 26]  20.00-21.00  sec  1.25 MBytes  10.5 Mbits/sec    0    537 KBytes       
[ 26]  21.00-22.00  sec  1.25 MBytes  10.5 Mbits/sec    0    612 KBytes       
[ 26]  22.00-23.00  sec  2.50 MBytes  21.0 Mbits/sec    0    716 KBytes       
[ 26]  23.00-24.00  sec  3.75 MBytes  31.5 Mbits/sec    0    844 KBytes       
[ 26]  24.00-25.00  sec  2.50 MBytes  21.0 Mbits/sec    9    840 KBytes       
[ 26]  25.00-26.00  sec  2.50 MBytes  21.0 Mbits/sec   32    478 KBytes       
[ 26]  26.00-27.00  sec  3.75 MBytes  31.5 Mbits/sec    0    515 KBytes       
[ 26]  27.00-28.00  sec  2.50 MBytes  21.0 Mbits/sec    0    547 KBytes       
[ 26]  28.00-29.00  sec  2.50 MBytes  21.0 Mbits/sec    0    567 KBytes       
[ 26]  29.00-30.00  sec  3.75 MBytes  31.5 Mbits/sec    0    577 KBytes       
[ 26]  30.00-31.00  sec  2.50 MBytes  21.0 Mbits/sec    0    580 KBytes       
[ 26]  31.00-32.00  sec  2.50 MBytes  21.0 Mbits/sec    0    580 KBytes       
[ 26]  32.00-33.00  sec  3.75 MBytes  31.5 Mbits/sec    0    580 KBytes       
[ 26]  33.00-34.00  sec  2.50 MBytes  21.0 Mbits/sec    0    585 KBytes       
[ 26]  34.00-35.00  sec  2.50 MBytes  21.0 Mbits/sec    0    597 KBytes       
[ 26]  35.00-36.00  sec  3.75 MBytes  31.5 Mbits/sec    0    618 KBytes       
[ 26]  36.00-37.00  sec  2.50 MBytes  21.0 Mbits/sec    0    655 KBytes       
[ 26]  37.00-38.00  sec  3.75 MBytes  31.5 Mbits/sec    0    708 KBytes       
[ 26]  38.00-39.00  sec  2.50 MBytes  21.0 Mbits/sec    0    778 KBytes       
[ 26]  39.00-40.00  sec  2.50 MBytes  21.0 Mbits/sec    0    872 KBytes       
[ 26]  40.00-41.00  sec  3.75 MBytes  31.5 Mbits/sec    0    998 KBytes       
[ 26]  41.00-42.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.12 MBytes       
[ 26]  42.00-43.00  sec  5.00 MBytes  42.0 Mbits/sec    3   1.29 MBytes       
[ 26]  43.00-44.00  sec  3.75 MBytes  31.5 Mbits/sec   93    650 KBytes       
[ 26]  44.00-45.00  sec  3.75 MBytes  31.5 Mbits/sec    0    699 KBytes       
[ 26]  45.00-46.00  sec  2.50 MBytes  21.0 Mbits/sec    0    740 KBytes       
[ 26]  46.00-47.00  sec  3.75 MBytes  31.5 Mbits/sec    0    766 KBytes       
[ 26]  47.00-48.00  sec  2.50 MBytes  21.0 Mbits/sec    0    781 KBytes       
[ 26]  48.00-49.00  sec  3.75 MBytes  31.5 Mbits/sec    0    788 KBytes       
[ 26]  49.00-50.00  sec  3.75 MBytes  31.5 Mbits/sec    0    789 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[ 26]   0.00-50.00  sec   131 MBytes  22.1 Mbits/sec  155             sender
[ 26]   0.00-50.00  sec   126 MBytes  21.2 Mbits/sec                  receiver

iperf Done.
